Age,Annual_Income,Loan_Amount,Years_Employed,Dependents,Credit_History,Risk_Flag
36,81256,2299,21,4,Yes,0
38,121046,33050,25,2,No,1
25,80653,33830,17,1,Yes,0
54,54386,42233,23,4,Yes,0
27,98872,28351,22,0,Yes,0
29,90726,40019,38,4,Yes,0
49,122652,15662,39,2,Yes,0
37,145639,17983,14,0,Yes,0
20,79719,42349,36,0,Yes,0
30,45727,27765,10,2,Yes,0
39,142013,41462,35,3,Yes,0
35,122434,9503,4,0,Yes,0
30,146252,14898,29,0,No,0
27,149526,48266,6,4,Yes,0
45,113562,12712,11,3,Yes,0
59,136894,18544,3,1,Yes,0
33,84509,28660,27,0,Yes,0
38,69416,15727,36,4,Yes,0
52,28711,23268,33,2,No,1
59,29665,48408,31,0,Yes,1
28,131730,14140,19,2,No,0
35,23770,28332,25,0,No,1
44,121536,17310,20,1,Yes,0
50,89082,17217,15,4,Yes,0
51,84165,30985,4,1,Yes,0
30,149614,15175,29,0,Yes,0
26,131359,16839,29,4,Yes,0
38,116876,10650,24,1,Yes,0
46,108287,36902,34,1,Yes,0
58,133561,10819,36,2,Yes,0
47,38047,15178,27,1,Yes,0
20,35588,3787,10,4,Yes,0
60,66489,7212,2,1,Yes,0
44,52009,37476,29,0,Yes,0
29,113677,16907,32,4,Yes,0
57,86905,45162,34,4,No,1
39,127917,8447,2,2,Yes,0
32,25487,1245,13,3,Yes,0
26,71672,39760,0,1,Yes,0
62,120932,26261,28,3,No,0
50,71897,22455,11,4,Yes,0
58,86673,39157,11,4,Yes,0
47,48834,39346,24,1,Yes,0
58,126683,1814,14,0,No,0
49,110352,9267,13,0,Yes,0
31,40344,29766,35,4,Yes,0
56,100799,35360,39,3,Yes,0
33,36978,16535,1,3,Yes,1
20,54469,14725,0,2,Yes,0
52,119265,14111,33,0,Yes,0
64,146421,48160,30,2,Yes,0
39,98947,36398,1,1,No,1
20,120537,14578,35,1,Yes,0
43,92204,23407,2,0,No,0
51,65610,25660,8,3,Yes,0
32,32661,28260,20,0,No,1
18,74766,41218,17,1,Yes,0
37,141323,43691,1,2,Yes,1
22,97922,38349,13,2,Yes,0
43,55036,21830,8,2,No,0
21,99064,13835,38,4,Yes,0
29,36101,6492,1,3,Yes,1
23,70808,11974,22,4,Yes,0
53,70131,30870,34,4,No,1
35,136912,14385,23,4,Yes,0
46,83294,33628,20,2,Yes,0
40,69047,44908,7,1,Yes,0
31,147925,19722,10,0,Yes,0
53,111225,9657,20,4,Yes,0
36,115739,29478,4,4,Yes,0
62,133319,1500,35,3,No,0
59,130285,7952,17,4,Yes,0
46,132081,32090,34,0,Yes,0
51,139667,43346,35,4,Yes,0
52,132408,17246,16,4,Yes,0
20,48024,49233,6,4,Yes,0
22,25700,3026,30,1,Yes,0
28,99322,13120,17,1,Yes,0
63,101462,29402,25,3,Yes,0
45,107187,20332,9,4,No,0
49,42733,26564,28,2,Yes,0
42,29638,40911,8,0,Yes,1
20,58015,28020,21,4,No,0
34,98065,16563,17,3,Yes,0
19,56719,1029,16,3,Yes,0
59,113176,41175,23,0,Yes,0
42,129392,5005,3,2,Yes,0
25,129366,41584,20,2,Yes,0
37,75954,6892,33,2,Yes,0
31,140278,24237,39,2,Yes,0
28,104816,35055,8,3,No,1
48,36292,32147,29,4,Yes,1
31,125940,45451,29,0,Yes,0
49,65959,8297,26,0,Yes,0
61,107298,13491,27,1,Yes,0
25,90729,22513,21,3,No,0
38,119728,30323,34,2,No,1
40,51419,5610,17,4,No,0
37,61679,44199,26,3,Yes,0
53,98824,14760,23,2,Yes,0
24,136249,23582,35,2,Yes,0
30,99587,23326,21,3,Yes,0
38,30807,47873,3,4,Yes,1
56,95205,33743,17,2,No,1
52,31094,40103,9,3,Yes,1
29,81451,1050,8,2,Yes,0
23,47280,33118,1,3,No,1
35,21320,9738,26,1,Yes,0
37,66105,30152,34,1,Yes,0
48,55139,17090,15,4,Yes,0
23,106813,43759,27,2,Yes,0
53,103694,2238,34,4,No,0
34,67147,13018,20,3,Yes,0
51,88447,3421,35,3,Yes,0
39,88607,19069,38,0,Yes,0
28,103251,27000,12,1,No,0
58,107317,47380,33,3,No,1
60,93598,42515,26,1,Yes,0
39,37408,12323,33,1,Yes,0
63,145309,20343,12,4,Yes,0
29,81923,42724,20,4,No,0
58,71559,3808,28,2,Yes,0
29,50416,30316,1,3,Yes,1
27,87546,15048,18,4,Yes,0
60,121559,29528,37,0,Yes,0
29,149861,5366,27,2,Yes,0
45,129017,17952,22,2,Yes,0
23,69777,25160,3,3,No,0
32,59028,18921,9,1,Yes,0
55,26611,37531,12,4,Yes,1
54,33934,27283,39,3,Yes,0
39,98950,34268,34,1,Yes,0
50,79372,22269,8,0,No,0
32,134186,45651,11,1,Yes,0
44,143447,35211,14,1,Yes,0
20,144710,30595,4,1,No,1
49,49756,38948,32,2,No,1
57,140333,16105,14,4,Yes,0
31,57018,20369,34,1,Yes,0
57,32818,47260,27,3,Yes,1
54,26050,15671,17,4,Yes,0
48,64158,10269,39,1,No,0
63,24521,15135,35,4,No,0
26,112199,39236,26,2,Yes,0
64,40719,39210,32,3,Yes,0
30,70411,32828,12,1,Yes,0
41,75547,42287,17,0,Yes,0
22,107110,37294,25,0,Yes,0
40,51661,12750,15,0,Yes,0
33,83123,27414,27,2,Yes,0
61,137373,33235,23,0,Yes,0
61,123539,20320,34,2,Yes,0
24,77346,2902,12,2,Yes,0
35,72587,1858,39,3,Yes,0
64,111987,18981,30,1,No,0
38,125025,7466,18,4,Yes,0
62,131192,46416,33,1,Yes,0
60,28562,6063,15,4,Yes,0
37,62443,47002,28,3,Yes,0
42,87439,42003,14,2,Yes,0
32,124988,24023,16,2,Yes,0
31,121013,10780,3,0,No,0
33,81404,4807,28,0,Yes,0
34,102001,31945,39,3,Yes,0
59,96759,1489,5,4,Yes,0
26,35858,48553,9,4,No,1
57,147780,30659,14,2,No,0
19,51481,2749,27,0,Yes,0
25,49894,3223,35,2,Yes,0
41,86063,5433,4,1,Yes,0
34,103071,31569,30,0,Yes,0
23,135481,29707,8,3,Yes,0
18,77199,21270,11,3,Yes,0
42,66861,24060,21,3,No,0
29,119847,48917,7,3,No,1
51,87396,23378,13,4,Yes,0
57,92969,43636,2,3,Yes,0
54,45378,6376,9,1,Yes,0
52,84732,2694,28,1,Yes,0
63,44188,9315,30,2,No,0
34,99012,7406,22,3,Yes,0
63,113103,41950,20,2,Yes,0
50,32363,36505,11,1,Yes,1
54,126153,17560,17,1,Yes,0
38,57193,5734,32,3,No,0
60,113616,31806,14,4,Yes,0
42,97442,10460,11,1,Yes,0
27,95145,48019,25,1,No,1
46,35928,1443,7,2,No,1
28,115424,35208,3,2,Yes,0
46,108571,30150,35,3,No,1
64,75779,8649,6,2,Yes,0
56,114410,22788,2,4,Yes,0
33,144433,47464,7,1,No,1
52,117449,27409,37,1,Yes,0
55,145200,28112,37,4,Yes,0
41,39731,37672,2,3,No,1
34,33727,14146,6,0,Yes,0
26,60136,11928,8,2,Yes,0
35,53257,11978,35,3,Yes,0
56,30528,24589,38,4,Yes,0
38,28245,29140,38,0,Yes,0
59,37256,22157,13,3,Yes,0
41,122811,32258,34,2,Yes,0
35,74698,38359,18,2,Yes,0
38,87428,2845,28,3,Yes,0
45,30652,13685,7,1,Yes,0
37,51655,3311,16,2,Yes,0
47,30686,23298,0,3,Yes,1
61,44398,42642,15,1,Yes,0
32,147962,22071,29,3,No,0
58,128982,6593,29,4,Yes,0
50,127761,46516,11,2,No,1
50,34325,34458,28,2,Yes,1
33,22203,20135,7,0,No,1
37,104101,16210,6,3,No,0
61,125056,45376,26,4,Yes,0
21,109461,20112,2,2,Yes,0
45,147420,26293,3,0,Yes,0
24,50776,17588,31,3,No,0
30,71993,2797,27,0,Yes,0
24,119251,14366,12,1,Yes,0
60,132884,6850,37,3,Yes,0
58,99424,17086,5,1,Yes,0
18,125939,13679,27,3,Yes,0
58,45976,14432,14,4,Yes,0
44,55934,8428,35,4,Yes,0
59,76782,39362,18,0,Yes,0
33,71644,8626,26,1,Yes,0
19,108553,26622,35,1,Yes,0
32,76381,32864,24,4,Yes,0
47,138499,44048,7,2,Yes,0
62,144161,24091,13,1,Yes,0
26,71030,13803,17,2,No,0
28,107099,49182,7,0,Yes,0
46,68351,1424,30,0,No,0
48,75038,33271,9,4,Yes,0
55,117077,17327,3,3,Yes,0
21,82999,20823,5,4,No,0
45,110298,43674,21,0,Yes,0
47,38205,32533,21,2,No,1
58,63154,27770,18,3,Yes,0
63,147182,40358,25,3,Yes,0
54,108131,16144,32,3,Yes,0
46,74816,22883,30,4,Yes,0
58,26862,34697,25,1,Yes,1
61,99059,5715,29,1,Yes,0
36,141540,7798,15,0,Yes,0
35,56741,16106,33,1,No,0
42,113332,18793,5,0,Yes,0
40,41529,6372,34,4,Yes,0
40,144345,22950,36,2,No,0
39,142649,22788,30,1,No,0
21,127596,39067,6,1,Yes,0
55,31351,37523,23,4,Yes,1
55,76361,20984,37,0,Yes,0
42,27973,48376,20,0,Yes,1
55,101196,4527,23,2,Yes,0
49,140460,8749,22,0,Yes,0
58,108241,24434,1,3,Yes,0
19,21999,34823,16,1,No,1
59,33281,10200,26,1,Yes,0
21,76087,19459,8,3,No,0
22,92420,12008,23,3,Yes,0
54,53902,10262,12,2,Yes,0
18,79768,38876,15,3,Yes,0
31,28070,35920,21,4,Yes,1
35,125330,40783,6,3,Yes,0
33,51770,30837,17,3,No,1
64,50755,32126,32,4,Yes,0
25,23830,31328,24,0,Yes,1
56,32937,46213,36,0,No,1
50,24383,33626,11,1,Yes,1
47,48582,33771,23,1,No,1
35,89634,11350,15,1,Yes,0
19,32288,19032,34,0,Yes,0
53,34551,16829,5,0,No,1
49,143955,8855,18,3,Yes,0
48,65650,14677,34,3,Yes,0
40,123457,43654,6,2,No,1
54,89754,29832,26,0,Yes,0
23,44009,42121,29,0,No,1
46,52975,48199,16,3,No,1
43,68356,10560,19,0,Yes,0
33,111281,33974,1,3,Yes,1
38,88582,36673,14,0,Yes,0
18,30839,7105,14,3,Yes,0
50,29967,1934,35,3,Yes,0
20,132894,4543,2,0,Yes,0
62,75989,38929,23,2,Yes,0
56,42222,5549,22,4,Yes,0
21,120181,35113,9,1,Yes,0
32,115880,43154,11,2,Yes,0
36,82170,43430,18,2,Yes,0
53,73061,13926,25,0,No,0
39,73281,42999,32,4,Yes,0
54,139107,15161,36,2,Yes,0
53,26772,16648,25,1,No,0
29,44509,1175,27,2,Yes,0
20,135036,25117,39,2,Yes,0
56,48152,33171,3,3,Yes,0
38,88916,9967,31,0,Yes,0
45,137928,35010,17,0,Yes,0
23,113993,20812,11,1,No,0
47,23339,35187,28,3,No,1
29,73934,13873,18,1,Yes,0
58,130310,32115,7,4,Yes,0
27,77026,15281,31,0,No,0
31,59726,17643,29,1,Yes,0
42,131074,13367,22,3,Yes,0
29,113925,13777,7,2,Yes,0
36,110887,7932,20,1,No,0
43,95752,27809,10,0,Yes,0
62,64653,29355,28,1,No,0
50,46598,49967,29,4,Yes,0
36,121440,40540,10,2,Yes,0
60,122136,49601,25,2,Yes,0
20,41050,12728,29,3,Yes,0
28,50279,14217,18,4,Yes,0
42,82223,43109,13,0,Yes,0
40,147522,28482,30,0,Yes,0
34,67653,18917,0,0,No,1
21,38383,49769,16,2,Yes,1
38,110450,12333,13,1,Yes,0
21,103700,7220,14,1,Yes,0
56,39659,37053,36,4,Yes,1
39,36738,33237,17,1,Yes,1
61,54341,10241,12,4,Yes,0
48,92489,41484,24,1,Yes,0
59,71818,6350,31,2,No,0
48,92354,37119,1,4,Yes,1
20,50346,40412,9,0,Yes,0
47,134693,18359,12,2,No,0
22,109788,13134,24,2,Yes,0
39,149157,18952,0,1,Yes,0
62,114315,40732,6,4,No,1
51,42076,20435,6,2,Yes,0
31,75261,41868,16,3,Yes,0
49,24725,1058,0,4,Yes,1
34,142790,23402,19,3,Yes,0
19,66870,8006,17,2,Yes,0
59,91688,15323,19,0,Yes,0
24,21600,9027,27,1,Yes,0
35,46465,41275,9,4,Yes,0
61,132870,7643,0,2,Yes,0
20,60641,9048,38,0,Yes,0
53,55183,2746,19,1,No,0
33,114042,8649,4,4,Yes,0
35,89051,18297,29,0,Yes,0
56,129743,11412,10,2,No,0
50,71500,28609,28,4,No,0
32,116665,44660,6,1,Yes,0
42,94590,11492,37,3,No,0
20,26641,34132,15,1,No,1
38,87865,42422,33,2,Yes,0
51,27523,34519,34,0,Yes,1
45,45651,47857,33,3,No,1
39,114817,23121,13,2,Yes,0
18,138648,21343,21,0,Yes,0
36,85563,9863,37,1,Yes,0
63,40234,33121,38,0,Yes,0
60,149686,22561,2,1,Yes,0
20,23201,14100,36,2,No,1
51,44723,24456,4,0,Yes,0
24,106348,16231,39,4,Yes,0
30,122280,20760,33,0,Yes,0
64,145724,17771,13,3,Yes,0
33,127422,34597,29,0,Yes,0
29,62002,5297,33,0,Yes,0
21,107618,2692,31,2,Yes,0
54,99810,38893,38,4,Yes,0
20,129097,4140,19,4,Yes,0
53,94489,35817,21,2,Yes,0
40,112615,48027,0,3,No,1
61,33587,36488,11,2,Yes,1
59,140474,23428,11,2,Yes,0
43,35457,42535,3,2,Yes,1
47,53639,4072,22,3,Yes,0
25,53166,20703,4,4,No,0
25,148396,48835,34,3,Yes,0
21,100383,9712,26,2,No,0
56,50041,26482,21,1,Yes,0
23,114348,42201,15,2,Yes,0
61,116730,16095,35,1,Yes,0
34,57956,32311,37,0,Yes,0
54,113926,48346,11,1,Yes,0
19,125454,30979,7,4,Yes,0
24,24414,35710,9,3,Yes,1
49,71455,32913,39,4,Yes,0
36,64239,34697,6,4,Yes,0
27,24507,8141,30,2,Yes,0
24,85180,49504,3,2,Yes,0
23,20184,39210,11,1,Yes,1
40,41409,3413,22,2,Yes,0
42,72335,25395,10,2,Yes,0
57,110447,12366,32,1,Yes,0
37,145407,9547,9,4,No,0
22,95700,32545,27,0,Yes,0
34,91033,23258,22,4,Yes,0
50,90640,43380,17,1,Yes,0
27,31663,26979,30,4,Yes,0
55,54555,30968,9,0,No,1
18,127532,20673,21,1,Yes,0
32,101304,2085,28,4,No,0
24,48783,1123,3,4,Yes,0
56,45772,16749,23,1,Yes,0
42,78328,38131,32,4,Yes,0
60,25942,20070,4,4,Yes,0
48,81756,23003,16,0,Yes,0
44,53617,9469,17,1,Yes,0
37,27970,37392,7,3,Yes,1
19,75178,23661,23,1,Yes,0
23,25782,4143,10,4,Yes,0
31,144686,34756,9,3,Yes,0
61,115201,18740,0,3,No,1
35,90192,9882,20,1,Yes,0
47,116346,45827,14,1,Yes,0
28,20557,6088,24,4,Yes,0
61,34988,8087,31,2,Yes,0
18,72726,39025,18,3,Yes,0
27,99172,8071,8,0,No,0
54,68786,7861,14,1,Yes,0
33,79940,18875,13,1,Yes,0
26,68478,18550,33,2,No,0
49,47273,41794,12,2,Yes,0
36,90453,27930,22,0,Yes,0
53,29884,7092,14,2,Yes,0
42,104416,10179,35,3,Yes,0
34,25167,33398,35,3,Yes,1
42,38909,20300,28,1,Yes,0
59,118980,26493,0,0,Yes,0
35,148888,22088,35,3,Yes,0
32,26389,13911,21,4,Yes,0
34,62348,16014,15,4,Yes,0
20,32150,38748,23,1,Yes,1
27,102862,16964,5,4,No,0
29,89050,48427,27,0,Yes,0
24,131888,16072,20,4,Yes,0
57,138362,22280,32,1,Yes,0
23,93277,3203,10,3,Yes,0
19,145410,14191,24,4,Yes,0
56,89835,31023,7,4,No,1
35,23093,17074,0,1,Yes,1
59,55725,48156,26,1,Yes,0
54,22928,7487,28,0,Yes,0
47,102896,8837,6,3,No,0
35,134832,36745,15,0,Yes,0
52,21214,10740,3,4,Yes,0
24,55247,29401,26,4,No,0
45,47213,11051,16,1,Yes,0
38,35582,28968,20,4,Yes,0
19,89217,1992,35,4,Yes,0
60,58526,4657,26,4,Yes,0
60,80520,45840,20,1,No,1
51,58596,14527,15,4,Yes,0
57,69855,3267,38,2,Yes,0
52,35591,28411,30,2,Yes,0
64,94221,17531,34,3,Yes,0
61,135981,13355,39,1,Yes,0
43,70100,40113,27,0,Yes,0
35,42440,49196,25,2,Yes,0
28,29321,43936,38,1,Yes,1
34,77748,29832,39,1,Yes,0
24,59643,34443,16,4,No,1
50,56533,20885,2,3,Yes,0
18,28573,28380,27,2,Yes,0
43,127012,3355,24,1,Yes,0
41,109001,7654,2,3,Yes,0
41,45104,37992,39,2,Yes,0
54,90283,7668,17,0,Yes,0
53,137408,6441,26,2,Yes,0
42,101131,41315,22,0,Yes,0
28,44956,7732,39,3,Yes,0
64,149669,4484,29,2,Yes,0
49,73143,13222,16,2,Yes,0
19,93374,27439,33,2,Yes,0
51,27848,36162,13,4,Yes,1
26,32318,26102,30,1,Yes,0
32,122404,26583,32,2,Yes,0
40,146733,18765,17,1,No,0
50,141292,11140,1,0,Yes,0
38,149926,1307,29,1,No,0
50,42289,43028,4,1,Yes,0
29,81509,8115,33,0,Yes,0
19,70272,17453,24,4,No,0
35,38615,17092,14,1,Yes,0
57,144288,20439,18,3,Yes,0
55,100219,28793,36,1,Yes,0
55,50482,45514,39,4,No,1
19,99472,15718,19,2,Yes,0
48,26834,26259,23,3,Yes,0
37,99834,20861,16,2,Yes,0
25,55200,12491,33,3,Yes,0
40,53586,3003,14,4,Yes,0
50,55592,11957,31,3,Yes,0
40,102762,46765,4,4,Yes,0
23,43259,29947,8,1,No,0
24,80124,10127,20,3,Yes,0
51,131646,16090,10,3,Yes,0
27,111277,19485,1,1,No,1
52,27086,11666,37,4,No,1
48,78418,17308,24,0,Yes,0
43,137110,23706,17,1,Yes,0
55,78548,31579,15,0,Yes,0
32,67922,19731,22,0,Yes,0
39,145702,2316,31,4,Yes,0
29,38371,1016,4,1,No,1
56,124697,26579,23,0,No,0
29,61476,3669,28,4,Yes,0
63,132789,27825,11,2,Yes,0
49,41346,2310,32,4,Yes,0
18,121096,29767,3,0,No,0
43,41730,24386,19,3,Yes,0
50,119323,10145,28,3,Yes,0
53,83753,33584,26,4,Yes,0
52,86554,24267,0,2,Yes,0
46,102799,16552,26,0,Yes,0
23,64706,10754,14,1,Yes,0
39,55999,30605,20,0,Yes,0
18,59218,29913,36,1,Yes,0
61,32803,14054,9,3,No,1
50,39464,16198,4,3,No,1
59,135712,30076,9,4,Yes,0
48,20319,46987,35,0,Yes,1
45,82784,27418,11,2,Yes,0
27,83471,38826,29,0,Yes,0
27,97582,5284,16,3,Yes,0
24,55285,47328,37,1,Yes,0
18,62500,43712,25,0,Yes,0
45,142141,12655,36,3,Yes,0
53,21286,36740,20,3,No,1
45,31340,5389,20,1,Yes,0
21,148792,39006,20,0,Yes,0
42,124446,29174,31,4,Yes,0
34,50285,13938,33,0,Yes,0
53,38704,2236,21,3,Yes,0
22,120919,35735,1,3,Yes,0
33,120473,8288,8,1,No,0
39,79622,37870,37,3,No,1
26,62676,22971,7,0,Yes,0
31,140840,35846,16,2,Yes,0
33,35185,48305,6,0,Yes,1
25,145701,49533,39,3,No,1
47,73149,20907,21,4,Yes,0
27,109595,23449,1,1,Yes,0
29,27394,42616,32,3,No,1
54,85263,12486,9,0,Yes,0
29,105603,27190,37,4,Yes,0
64,76901,18986,0,2,Yes,0
41,79980,19857,17,1,Yes,0
37,58493,41149,37,2,Yes,0
49,126794,44552,32,1,Yes,0
36,40927,4827,21,4,Yes,0
20,86729,44085,35,0,No,1
55,20528,43060,16,1,No,1
37,81748,12369,19,0,Yes,0
28,120965,22459,0,4,Yes,0
53,110627,44374,22,1,Yes,0
54,51815,18221,27,4,Yes,0
24,60430,21377,30,1,Yes,0
62,82175,20887,17,4,Yes,0
32,57132,27206,12,3,Yes,0
62,122370,17747,27,4,Yes,0
50,133551,8549,7,2,Yes,0
57,124488,3920,28,1,No,0
35,115898,47745,13,2,Yes,0
55,135256,33934,21,1,Yes,0
43,25703,43745,2,1,Yes,1
42,95692,45196,21,2,No,1
33,65679,3589,8,0,Yes,0
62,39748,7546,0,1,Yes,0
54,24454,21828,12,3,No,1
58,136348,24694,31,0,Yes,0
37,70668,12356,29,4,No,0
24,147194,46806,32,0,Yes,0
39,57756,6905,34,0,Yes,0
24,100337,13812,9,2,Yes,0
35,60644,5938,25,0,Yes,0
64,125193,38628,5,3,No,1
60,21711,47969,17,2,Yes,1
54,85428,36223,9,2,No,1
40,133566,16787,32,1,No,0
24,121206,46643,22,3,No,1
29,138915,10529,25,4,Yes,0
51,126706,38122,12,2,Yes,0
40,33275,44934,15,1,No,1
22,97198,22125,37,3,Yes,0
25,145391,28365,2,1,No,0
21,42218,1970,35,4,Yes,0
35,25239,25061,0,4,Yes,1
45,132666,38142,10,4,Yes,0
44,71529,28127,39,0,Yes,0
36,44855,43233,16,1,Yes,0
46,90097,38219,39,1,Yes,0
32,53236,42132,28,3,No,1
33,84006,28451,20,3,Yes,0
36,140738,23183,10,1,Yes,0
38,103397,9924,21,1,Yes,0
61,141972,41964,39,2,Yes,0
26,142971,35254,6,0,No,1
24,30073,20920,29,0,Yes,0
27,72182,48099,27,4,No,1
27,40534,12134,35,0,Yes,0
31,114910,40632,29,4,Yes,0
49,73294,48080,28,2,No,0
60,33285,11348,29,3,Yes,0
41,36258,42121,15,3,Yes,1
44,86615,7587,30,3,No,0
44,29821,45945,29,4,No,1
44,42650,46812,27,2,Yes,0
26,105751,28850,6,1,No,0
30,80062,31172,22,1,Yes,0
63,86178,23766,15,4,No,0
34,78841,29172,6,2,Yes,0
37,87965,18057,11,1,No,0
51,84373,21614,6,3,Yes,0
56,129633,41550,7,4,Yes,0
33,138822,9214,4,1,Yes,0
32,114799,47807,7,2,Yes,0
36,143538,48971,11,0,Yes,0
59,44767,11232,23,4,Yes,0
56,128617,26091,38,0,Yes,0
18,64787,33679,19,0,No,1
20,140953,6933,39,4,Yes,0
23,94266,46370,10,0,Yes,0
26,139237,24354,27,0,No,0
36,140688,25133,38,1,No,0
22,34306,5843,13,4,Yes,0
61,99360,4587,30,4,Yes,0
64,100520,6338,1,3,No,1
45,136346,29205,10,2,Yes,0
51,78334,20518,2,2,Yes,0
58,114585,25297,22,1,Yes,0
49,118983,43312,4,3,Yes,0
44,77589,33620,38,1,Yes,0
37,47289,39505,19,2,Yes,0
32,39381,48740,28,4,Yes,1
29,114905,18068,8,4,No,0
40,58059,45629,4,0,Yes,0
30,65702,8466,20,1,Yes,0
51,128875,37044,24,1,Yes,0
64,63555,27799,10,1,No,0
19,112160,27578,32,3,Yes,0
52,86951,35660,4,4,No,1
59,142818,22148,3,1,Yes,0
40,149525,20074,10,2,Yes,0
31,110091,3261,29,0,No,0
31,128559,35196,22,3,Yes,0
64,91574,20158,15,0,Yes,0
34,138632,17509,7,2,Yes,0
34,65489,35961,2,1,Yes,0
45,102681,23942,17,0,No,0
55,108867,43802,26,2,Yes,0
36,133005,14979,6,3,No,0
42,127938,46487,21,2,No,1
43,145408,14146,7,3,Yes,0
50,85546,3749,6,2,Yes,0
63,123727,32426,28,0,Yes,0
32,147707,37837,35,4,Yes,0
63,119054,19405,8,0,Yes,0
63,34706,27534,31,3,Yes,0
44,66996,45308,0,1,Yes,0
59,26704,41375,2,4,Yes,1
55,47414,5743,37,2,Yes,0
29,26416,36065,15,4,Yes,1
47,132909,38482,35,2,Yes,0
44,46754,17482,18,3,No,0
31,143160,45160,18,0,Yes,0
21,68566,22002,38,4,Yes,0
56,103785,16383,28,3,No,0
40,138819,43253,13,0,Yes,0
57,33782,11295,28,0,No,1
55,132293,43368,4,3,No,1
52,117204,35956,9,1,Yes,0
42,88868,24950,12,3,Yes,0
25,102486,36077,0,2,Yes,1
43,62503,19939,8,2,Yes,0
45,131654,35031,31,2,Yes,0
41,120299,13444,3,0,Yes,0
43,68671,19682,35,2,Yes,0
50,139500,13857,23,1,Yes,0
61,135786,12371,33,4,No,0
51,134110,16577,5,3,Yes,0
22,78177,4932,4,4,No,0
57,61787,7283,32,2,Yes,0
56,76614,17291,22,4,Yes,0
48,110596,42057,14,4,Yes,0
19,122466,28470,27,1,Yes,0
34,126605,7089,34,3,Yes,0
44,103279,34299,19,2,Yes,0
51,51645,18216,29,3,Yes,0
33,130960,33561,16,0,Yes,0
41,79072,6543,29,4,Yes,0
32,22673,45383,3,4,Yes,1
28,141449,46608,10,4,Yes,0
43,29795,29695,11,3,Yes,0
43,70772,8093,37,2,Yes,0
52,39589,16960,23,3,Yes,0
58,108593,49281,13,3,Yes,0
29,84274,14746,31,0,No,0
46,62723,49126,19,0,No,1
23,46558,39682,3,4,Yes,0
37,23646,40211,38,3,No,1
59,96815,31806,34,0,Yes,0
54,91309,41711,19,0,No,1
22,102629,31922,0,2,No,1
54,75048,21017,13,3,Yes,0
53,97088,3031,16,0,Yes,0
55,48305,5734,29,1,Yes,0
25,22978,6458,4,3,Yes,0
20,44142,23343,6,4,Yes,0
64,122548,13366,27,4,Yes,0
54,49427,25125,1,2,No,1
38,80611,49457,7,2,Yes,0
26,105481,17762,5,3,No,0
32,143323,1665,20,1,No,0
50,118104,37731,33,4,Yes,0
50,50099,8717,23,3,Yes,0
20,147874,4280,3,2,No,0
48,106984,35171,13,0,Yes,0
55,32780,12101,22,0,Yes,0
21,48670,2722,36,2,No,0
55,68268,6797,4,2,Yes,0
43,38013,22179,19,1,Yes,0
33,22665,13332,9,1,Yes,0
22,62756,29964,12,1,No,0
20,30796,21428,28,3,No,1
31,147374,5078,28,2,Yes,0
41,42072,17524,32,4,No,0
55,117243,48198,24,0,Yes,0
64,123676,20523,27,3,Yes,0
32,69606,17888,1,3,Yes,0
64,79316,31702,39,1,No,1
25,50788,10497,12,3,Yes,0
61,65784,3358,30,4,No,0
21,29280,16372,11,1,Yes,0
63,121732,44442,5,4,Yes,0
25,70126,27955,29,2,Yes,0
51,74418,28830,24,1,Yes,0
30,109336,23836,17,0,Yes,0
49,108743,13919,23,2,Yes,0
33,66707,9766,21,1,Yes,0
21,99183,45286,3,0,Yes,0
40,119445,49372,38,3,No,1
51,25608,18633,10,2,Yes,0
57,137232,20928,24,0,Yes,0
37,113433,34411,30,2,Yes,0
64,70062,47308,31,1,Yes,0
64,77032,2293,23,1,Yes,0
42,43424,1761,33,2,Yes,0
52,133521,3092,36,4,Yes,0
31,121280,18254,17,0,No,0
40,67734,38696,28,2,No,1
51,143371,25603,12,0,Yes,0
21,44514,5696,4,1,Yes,0
40,95948,3977,22,0,No,0
59,55985,14882,29,2,Yes,0
24,147571,22034,2,2,No,0
27,29748,7116,19,3,Yes,0
46,46325,16611,38,2,No,0
59,41942,23699,17,1,Yes,0
49,147550,5841,4,1,Yes,0
46,113878,7799,20,2,Yes,0
35,50008,34527,37,4,Yes,0
24,137782,39173,0,0,Yes,1
21,116099,33635,38,4,Yes,0
29,89377,29671,25,4,Yes,0
41,53069,35374,22,4,No,1
25,53822,25734,21,1,Yes,0
34,22243,4236,31,4,Yes,0
35,87264,38677,36,1,Yes,0
56,53741,27641,37,0,Yes,0
25,58015,18594,16,1,No,0
42,55847,23635,10,1,Yes,0
47,133141,26187,29,1,Yes,0
32,57924,3199,21,1,Yes,0
62,30002,16133,24,2,No,1
26,95207,33205,24,3,Yes,0
24,39996,37103,30,2,Yes,1
44,66728,43032,33,0,Yes,0
32,101219,20943,23,3,Yes,0
19,95705,3655,9,4,Yes,0
56,85077,11019,7,1,Yes,0
49,62940,14510,33,1,No,0
35,93667,20449,25,1,No,0
20,87904,27570,30,1,Yes,0
62,97870,35814,6,4,Yes,0
32,86267,19225,32,3,Yes,0
34,48804,34044,19,1,Yes,0
51,75255,44839,8,0,Yes,0
29,29664,13719,0,1,Yes,1
31,109690,35024,32,0,Yes,0
60,68791,23320,35,0,Yes,0
62,44028,47200,1,1,Yes,1
28,52596,16412,12,1,Yes,0
